"Time","pod","type","Value"
1701356399000,ebs-csi-node-ln8cv,RAM,0.00297732421875
1701356399000,ebs-csi-node-lgkd4,RAM,0.00297732421875
1701356399000,ebs-csi-node-4x6n4,RAM,0.00297732421875
1701356399000,ebs-csi-node-h5swc,RAM,0.00294861328125
1701356399000,plugin-prowler-inven-collector-jbkkhxcqbhxfggcjm-565dd8c5b6sf8v,RAM,0.002935400735855103
1701356399000,redis-85b9b8b9c5-jzht7,RAM,0.0028871747767130534
1701356399000,redis-replica-node-1,CPU,0.0028667637081382443
1701356399000,sp1-agent-opencost-64786844f6-qzxbx,RAM,0.002818865919113159
1701356399000,plugin-google-billing-cost-datasource-gdnnfefxwslfghje-789wrpmt,RAM,0.0026801225099563598
1701356399000,spin-echo-7668f7c49c-f2p2b,RAM,0.0026627090506553654
1701356399000,identity-79bd89d7b9-jkjdx,CPU,0.0025376471230663827
1701356399000,promtail-zw8zj,CPU,0.0025336260831122894
1701356399000,repository-9cc854765-xf69l,CPU,0.002506800636842904
1701356399000,plugin-prowler-inven-collector-jbkkhxcqbhxfggcjm-565dd8c5bkmn2m,RAM,0.0024906804637908936
1701356399000,spin-igor-88dbc4bcd-sg2t8,RAM,0.002474769772529602
1701356399000,loki-read-0,RAM,0.002382564881801605
1701356399000,prometheus-pushgateway-586d87c974-7w8hk,CPU,0.0023642833983006963
1701356399000,inventory-6ffd566b88-4fshp,RAM,0.0022991250748634335
1701356399000,vizier-pem-9nz7s,CPU,0.0022758491789012054
1701356399000,promtail-xdfff,RAM,0.0022732059068679812
1701356399000,plugin-openstack-inven-collector-orzzikikikuvfbx-fd67ccf7cvbj9s,CPU,0.002273050597529925
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-pswrj,CPU,0.002262473706936627
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-5w49h,CPU,0.00225919456872559
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-ksrn9,CPU,0.002253682473118337
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-4xxk6,CPU,0.002247467469480671
1701356399000,plugin-bfc46d09140b-jbkkhktqwsjukfk-5bb454b9c6-j8zlb,RAM,0.002246885257720947
1701356399000,newrelic-bundle-nri-prometheus-84879cd44-dbthj,RAM,0.0021732020058631897
1701356399000,vizier-pem-vthsk,CPU,0.002163369457881382
1701356399000,promtail-tsx29,RAM,0.001951846986293793
1701356399000,service-portal-api-worker-978d5d8f-r9nkb,RAM,0.0019381271629333493
1701356399000,plugin-aws-phd-inven-collector-bokkcdtoksbuohxa-6775446dfdmkfhg,RAM,0.0018925744614601133
1701356399000,plugin-bfc46d09140b-jbkkhktqwsjukfk-5bb454b9c6-clqw4,RAM,0.0018914288744926453
1701356399000,cost-analysis-worker-6cc775c5b4-tsp6v,RAM,0.0018496049499511717
1701356399000,event-exporter-d88d4f8f4-74rll,CPU,0.001840554564460206
1701356399000,cost-analysis-worker-6cc775c5b4-8vtls,RAM,0.0018327112922668456
1701356399000,spin-deck-6467b9c487-d9vxg,CPU,0.0018028112636849338
1701356399000,notification-worker-7dbc948bcd-md5sh,RAM,0.0017895074295997619
1701356399000,plugin-aws-cost-explorer-cost-datasource-kgootqtbwsofdha-cztltz,RAM,0.0017344829926490785
1701356399000,plugin-aws-phd-inven-collector-bokkcdtoksbuohxa-6775446dfd6cxxq,RAM,0.0016664801745414734
1701356399000,plugin-http-file-cost-datasource-kgootqtbbcetlcbk-7db45c5dmkh9f,RAM,0.0016550432538986201
1701356399000,repository-9cc854765-xf69l,RAM,0.0016500782337188719
1701356399000,promtail-zw8zj,RAM,0.0016406802616119385
1701356399000,inventory-759fdf99bd-mhqhq,CPU,0.0016299591666666668
1701356399000,inventory-scheduler-76bd444598-t47q2,CPU,0.0016284733333333332
1701356399000,prometheus-prometheus-node-exporter-zvlkb,CPU,0.0015985172336309
1701356399000,newrelic-bundle-newrelic-logging-lvchw,RAM,0.0015879062500000001
1701356399000,newrelic-bundle-newrelic-logging-ck5kw,RAM,0.0015879062500000001
1701356399000,newrelic-bundle-newrelic-logging-4dnnw,RAM,0.0015879062500000001
1701356399000,newrelic-bundle-newrelic-logging-tfphd,RAM,0.0015725937499999998
1701356399000,plugin-prowler-inven-collector-jbkkhxcqzudckwcdd-7d44787fc8jrlp,RAM,0.0015625730533599855
1701356399000,plugin-openstack-inven-collector-orzzikikikuvfbx-fd67ccf7cmw7qg,CPU,0.0015480620412610363
1701356399000,cost-analysis-worker-6cc775c5b4-lg875,RAM,0.00149642027759552
1701356399000,spacectl-7dcfbcb7b4-dhqm7,RAM,0.0014955078501701355
1701356399000,cost-analysis-worker-6cc775c5b4-vb4hz,RAM,0.0014884315900802613
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-9zgbt,CPU,0.0014803710316197572
1701356399000,plugin-prowler-inven-collector-orzzivckeunczahxj-7b89f47769vfpk,RAM,0.0014557267994880676
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-bfhr8,CPU,0.0014548533438846244
1701356399000,plugin-prowler-inven-collector-jbkkhxcqzudckwcdd-7d44787fc9tjqw,RAM,0.0014545227298736571
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-bfhdw,CPU,0.0014504015967529173
1701356399000,plugin-prowler-inven-collector-orzzivckeunczahxj-7b89f4776bplrj,RAM,0.00145013477897644
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-h679k,CPU,0.0014488126808316847
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-blsnr,CPU,0.001434717879385062
1701356399000,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-z7qk4,CPU,0.0014328829679163308
1701356399000,plugin-spaceone-inven-collector-wjddfvcgfocdsna-684c47c65cjzpjp,RAM,0.0014225675826072695
1701356399000,plugin-spaceone-member-inven-collector-lrllincdribtvviba-6tm95d,RAM,0.0013924525008201598
